start	end	text
205880	208120	because inflation has, which is really known
208120	210640	as a country buster, it breaks up countries.
210640	214400	We have inflation like very few people have ever seen before,
214400	217080	probably the worst in our nation's history.
217080	219800	We were at 21 percent, but that's being generous
219800	223440	because many things are 50, 60, 70, and 80 percent higher
223440	225400	than they were just a few years ago.
225400	227400	This has been a disaster for people,
227400	229440	for the middle class, but for every class.
229440	232120	On top of that, we have millions of people
232120	235200	pouring into our country from prisons and jails,
235200	238440	from mental institutions and insane asylums,
238440	241240	and they're coming in and they're taking jobs
241240	244000	that are occupied right now by African Americans
244000	246520	and Hispanics and also unions.
246520	248680	Unions are going to be affected very soon,
248680	249720	and you see what's happening.
249720	251240	You see what's happening with towns
251240	252520	throughout the United States.
252520	254720	You look at Springfield, Ohio.
254720	257520	You look at Aurora in Colorado.
257520	259120	They are taking over the towns.
259120	260480	They're taking over buildings.
260480	262160	They're going in violently.
262160	267160	These are the people that she and Biden led into our country,
267160	269000	and they're destroying our country.
269000	270240	They're dangerous.
270240	272880	They're at the highest level of criminality,
272880	274000	and we have to get them out.
274000	275480	We have to get them out fast.
275480	277840	I created one of the greatest economies
277840	279800	in the history of our country.
279800	281640	I'll do it again and even better.
281640	283840	We are going to get to immigration and border security
283840	285840	during this debate, but I would like
285840	288720	to let Vice President Harris respond on the economy here.
288720	289920	Well, I would love to.
289920	294000	Let's talk about what Donald Trump left us.
294000	297520	Donald Trump left us the worst unemployment
297520	299560	since the Great Depression.
299560	304400	Donald Trump left us the worst public health epidemic
304400	305720	in a century.
305720	310960	Donald Trump left us the worst attack on our democracy
310960	313480	since the Civil War.
313520	317320	And what we have done is clean up Donald Trump's mess.
317320	319680	What we have done and what I intend to do
319680	322440	is build on what we know are the aspirations
322440	323800	and the hopes of the American people.
323800	326160	But I'm going to tell you all on this debate tonight,
326160	329880	you're going to hear from the same old tired playbook,
329880	333440	a bunch of lies, grievances, and name calling.
333440	336720	What you're going to hear tonight is a detailed
336720	339800	and dangerous plan called Project 2025
339800	342200	that the former president intends on implementing
342200	344720	if he were elected again.
344720	348520	I believe very strongly that the American people want
348520	351320	a president who understands the importance
351320	352560	of bringing us together.
352560	355760	No, we have so much more in common than what separates us.
355760	358880	And I pledge to you to be a president for all Americans.
358880	360720	President Trump will give you a minute here to respond.
360720	361960	Number one, I have nothing to do.
361960	363920	As you know, and as she knows better than anyone,
363920	367160	I have nothing to do with Project 2025.
367160	369160	That's out there. I haven't read it.
369160	370640	I don't want to read it purposely.
370640	371840	I'm not going to read it.
371840	373520	This was a group of people that got together.
373520	374960	They came up with some ideas.
374960	376680	I guess some good, some bad.
376680	378880	But it makes no difference. I have nothing to do.
378880	380360	Everybody knows I'm an open book.
380360	381760	Everybody knows what I'm going to do.
381760	383760	Cut taxes very substantially
383760	386600	and create a great economy like I did before.
386600	389680	We had the greatest economy. We got hit with a pandemic.
389680	392960	And the pandemic was not since 1917,
392960	394840	where 100 million people died.
394840	396000	Has there been anything like it?
396000	398680	We did a phenomenal job with the pandemic.
398680	401400	We handed them over a country
401400	403560	where the economy and where the stock market
403560	406840	was higher than it was before the pandemic came in.
406840	408880	Nobody's ever seen anything like it.
408880	411280	We made ventilators for the entire world.
411280	413080	We got gowns. We got masks.
413080	415440	We did things that nobody thought possible.
415440	417800	And people give me credit for rebuilding the military.
417800	419880	They give me credit for a lot of things,
419880	421840	but not enough credit for the great job we did
421840	422920	with the pandemic.
422920	425280	But the only jobs they got were bounce-back jobs.
425280	427200	These were jobs bounce-back.
427200	429840	And it bounced back and it went to their benefit.
429840	431560	But I was the one that created them.
431560	433440	They know it, and so does everybody else.
433440	435560	Vice President Harris, I'll let you respond.
435560	439840	So Donald Trump has no plan for you.
439840	442200	And when you look at his economic plan,
442200	445200	it's all about tax breaks for the richest people.
445200	449440	I am offering what I describe as an opportunity economy.
449440	451800	And the best economists in our country,
451800	453120	if not the world,
453120	457520	have reviewed our relative plans for the future of America.
457520	459600	What Goldman Sachs has said
459600	463120	is that Donald Trump's plan would make the economy worse.
463120	465120	Mine would strengthen the economy.
465120	468960	What the Wharton School has said is Donald Trump's plan
468960	471920	would actually explode the deficit.
471920	476200	Sixteen Nobel laureates have described his economic plan
476200	478680	as something that would increase inflation
478680	482760	and by the middle of next year would invite a recession.
482760	485320	You just have to look at where we are
485320	486720	and where we stand on the issues.
486720	488400	And I'd invite you to know
488400	491680	that Donald Trump actually has no plan for you
491680	494560	because he is more interested in defending himself
494560	496720	than he is in looking out for you.
496720	497800	That's just a sound bite.
497800	499200	They gave her that to say.
499200	501520	Look, I went to the Wharton School of Finance
501520	504320	and many of those professors, the top professors,
504320	506120	think my plan is a brilliant plan.
506120	506960	It's a great plan.
506960	509680	It's a plan that's going to bring up our worth,
509680	510960	our value as a country.
510960	513800	It's going to make people want to be able to go and work
513800	518200	and create jobs and create a lot of good, solid money
518200	520000	for our country.
520000	523840	And just to finish off, she doesn't have a plan.
523840	528560	She copied Biden's plan and it's like four sentences,
528560	532400	like run, spot, run, four sentences that are just,
532400	534560	oh, we'll try and lower taxes.
534560	535480	She doesn't have a plan.
535480	538400	Take a look at her plan. She doesn't have a plan.
538400	539240	Mr. President.
